
Report for ../Lab1Assigment1/knapsack-20.txt

Checking for logarithmic cooling different values
iterations=20, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=160 => result=550
iterations=20, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=160 => result=576
iterations=20, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=160 => result=511
iterations=20, T_max=100, T_min=0.01, alpha=0.999, neighbours checked=160 => result=685
iterations=20, T_max=100, T_min=0.001, alpha=0.9, neighbours checked=180 => result=570
iterations=20, T_max=100, T_min=0.001, alpha=0.95, neighbours checked=180 => result=559
iterations=20, T_max=100, T_min=0.001, alpha=0.99, neighbours checked=180 => result=656
iterations=20, T_max=100, T_min=0.001, alpha=0.999, neighbours checked=180 => result=652
iterations=20, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=160 => result=631
iterations=20, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=160 => result=599
iterations=20, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=160 => result=684
iterations=20, T_max=1000, T_min=0.1, alpha=0.999, neighbours checked=160 => result=660
iterations=20, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=180 => result=629
iterations=20, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=180 => result=625
iterations=20, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=180 => result=631
iterations=20, T_max=1000, T_min=0.01, alpha=0.999, neighbours checked=180 => result=555
iterations=20, T_max=1000, T_min=0.001, alpha=0.9, neighbours checked=200 => result=596
iterations=20, T_max=1000, T_min=0.001, alpha=0.95, neighbours checked=200 => result=631
iterations=20, T_max=1000, T_min=0.001, alpha=0.99, neighbours checked=200 => result=635
iterations=20, T_max=1000, T_min=0.001, alpha=0.999, neighbours checked=200 => result=617
iterations=20, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=180 => result=580
iterations=20, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=180 => result=606
iterations=20, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=180 => result=657
iterations=20, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=180 => result=556
iterations=20, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=200 => result=522
iterations=20, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=200 => result=614
iterations=20, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=200 => result=594
iterations=20, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=200 => result=641
